frame,x_cm,y_cm,theta,detected
1735,30.149719887955115,28.774229691876684,129.3729571678196,1
1736,30.243697478991532,28.953641456582567,128.6770638223338,1
1737,30.36330532212878,29.10742296918761,124.98662563872094,0
1738,30.517086834733824,29.303921568627384,121.06668019169479,1
1739,30.576890756302454,29.414985994397693,121.75785090410213,1
1740,30.653781512604972,29.491876750700214,118.98641716491309,1
1741,30.60252100840329,29.397899159663798,120.33291272339733,1
1742,30.55126050420161,29.29537815126044,121.58914424260888,1
1743,30.491456582632985,29.18431372549013,122.12414284529805,1
1744,30.499999999999932,29.18431372549013,121.82343193189803,1
1745,30.465826330532146,29.124509803921505,121.86418972211368,1
1746,30.465826330532146,29.10742296918761,121.55952406876267,1
1747,30.465826330532146,29.10742296918761,121.47896533720953,1
1748,30.465826330532146,29.090336134453718,120.7012831947393,1
1749,30.406022408963516,28.97072829131646,120.47618337205351,1
1750,30.414565826330463,28.97072829131646,120.64985875661333,0
1751,30.414565826330463,28.97072829131646,120.55799828868263,0
1752,30.414565826330463,28.953641456582567,120.10884121698605,1
1753,30.337675070027945,28.902380952380884,123.81217661964564,1
1754,30.25224089635848,28.842577030812258,127.43529694732086,1
1755,30.17535014005595,28.782773109243635,131.51148664929082,1
1756,30.02156862745091,28.663165266106375,139.58855460906977,1
1757,29.89341736694671,28.57773109243691,146.89109788767516,1
1758,29.87633053221282,28.543557422969126,146.47250963774468,1
1759,29.833613445378084,28.44957983193271,142.96567420048592,1
1760,29.782352941176402,28.38977591036408,142.10677608570705,1
1761,29.82507002801114,28.432492997198814,137.70501450029323,1
1762,29.842156862745032,28.44957983193271,134.66307227117642,0
1763,29.825070028011133,28.458123249299653,135.36109680294672,0
1764,29.842156862745032,28.535014005602175,139.35717110960465,0
1765,29.859243697478924,28.57773109243691,140.0806884765625,0
1766,29.901960784313662,28.586274509803854,138.34703574384616,1
1767,29.95322128851534,28.586274509803854,132.9097559517527,1
1768,30.01302521008397,28.57773109243691,126.32140399344422,1
1769,30.08137254901954,28.57773109243691,119.11705238327708,1
1770,30.14117647058817,28.56918767506996,112.99245165797412,1
1771,30.16680672268901,28.569187675069962,107.85563240273457,1
1772,30.175350140055958,28.56064425770301,106.84216989627132,1
1773,30.16680672268901,28.552100840336067,107.1601883525008,1
1774,30.149719887955115,28.52647058823523,109.89268856516323,1
1775,30.14117647058817,28.526470588235224,113.10529366989086,1
1776,30.10700280112038,28.535014005602175,120.39347313619237,1
1777,30.08137254901954,28.560644257703018,127.81734917949946,0
1778,30.064285714285642,28.594817927170805,134.3131747949575,0
1779,30.04719887955175,28.63753501400554,138.6673326671177,0
1780,30.03011204481786,28.66316526610638,141.89208984375,0
1781,30.03011204481786,28.66316526610638,141.89208984375,0
1782,30.03011204481786,28.66316526610638,141.89208984375,0
